index,critic_score,user_score,rating,year
1024,43.0,7.4,E,2000.0
1025,90.0,6.8,E,2000.0
1029,51.0,7.6,T,2001.0
1034,,7.2,M,2003.0
1036,,5.5,T,2008.0
1042,75.0,7.8,E,1999.0
1047,65.0,,E,2001.0
1049,,1.4,M,2015.0
1051,,8.4,E,2009.0
1057,,6.4,E,2007.0
1058,,7.8,T,2009.0
1062,,1.3,M,2015.0
1063,48.0,5.8,T,2000.0
1067,65.0,5.3,E,2009.0
1069,63.0,,E,2009.0
1070,37.0,,E,2009.0
1072,53.0,,T,2006.0
1077,71.0,6.7,T,2001.0
1079,87.0,7.0,T,2016.0
1089,,,E,2001.0
1090,90.0,8.7,E,2003.0
1117,80.0,8.8,E,2004.0
1123,77.0,7.1,E,2005.0
1130,,3.0,E,2014.0
1131,81.0,5.2,M,2010.0
1136,77.0,8.7,T,2005.0
1141,,4.5,T,2014.0
1142,92.0,8.4,T,2007.0
1148,75.0,8.8,E10+,2007.0
1151,64.0,,E,2007.0
1158,,4.2,E10+,2013.0
1163,89.0,10.0,T,1997.0
1166,62.0,,E,2000.0
1177,,8.1,E,2009.0
1182,,2.9,E,2015.0
1187,,,E,2008.0
1194,51.0,7.6,T,2001.0
1198,81.0,7.9,E,2003.0
1199,58.0,,E,2008.0
1204,81.0,7.7,T,2000.0
1207,,8.4,T,1999.0
1210,,,E,2011.0
1216,85.0,8.6,E10+,2016.0
1223,73.0,,E,2000.0
1226,65.0,,E,2000.0
1229,84.0,8.5,T,2000.0
1232,62.0,,E,2000.0
1235,62.0,,E,2000.0
1236,83.0,6.8,T,2013.0
1237,86.0,8.0,E,2000.0
1244,73.0,7.5,E,2015.0
1245,76.0,8.2,M,2009.0
1247,32.0,5.5,T,2001.0
1257,70.0,,E,2000.0
1261,89.0,8.9,T,2000.0
1271,90.0,8.9,E,2000.0
1275,,8.2,M,2016.0
1281,,6.5,E,2006.0
1284,,,E,2009.0
1290,62.0,6.4,E10+,2013.0
1291,,,E,2007.0
1292,,,E,2003.0
1293,91.0,7.9,E,1999.0
1298,,,E,2004.0
1300,76.0,,T,2003.0
1301,76.0,8.3,E,2001.0
1302,81.0,9.1,E10+,2016.0
1307,65.0,7.2,E,2009.0
1314,,2.7,E,2014.0
1324,77.0,8.7,T,2005.0
1326,66.0,7.6,M,2008.0
1329,78.0,8.1,E10+,2010.0
1341,,10.0,E,2007.0
1343,76.0,8.3,E,2001.0
1350,77.0,7.1,E,2005.0
1363,79.0,7.7,E,2005.0
1368,,2.5,T,2010.0
1369,84.0,8.5,T,2000.0
1370,89.0,8.5,E,2005.0
1378,,6.6,T,2008.0
1384,85.0,8.1,M,2014.0
1392,,6.9,E,2007.0
1396,,7.1,E10+,2012.0
